# Analysis Group Name : Default Analysis Group
# Description : Including all applicable data files.
# Created By :dalesan@gmail.com
# Last Modified Date : 2016-11-30 10:02:51 AM
# Number of Experiments in Analysis Group : 1
# List of instrument types in the study that are imported : QuantStudio 7 Real-Time PCR System
# Normalization method : Endogenous Control = ACT2
# Reference Sample : KOC
# Reference Group : 
# Max CT : 40.0
# Confidence Level : 95.0

"Sample Name","Target Name","Mean Equivalent Cq","Mean Adjusted Equivalent Cq","Sigma Equivalent Cq","Mean DCq","DCq SE","Mean L-Quant","Mean Adjusted L-Quant","Sigma L-Quant","Mean N-Quant","Sigma N-Quant","F Factor","Rq","Rq Min","Rq Max","DDCq","DDCq - Fsigma","DDCq + Fsigma",
"KOS","KU70","27.19","27.19","0.068","1.787","0.361","6.532981E-9","6.532981E-9","0.954","0.29","0.779","2.447","3.401","1.845","6.268","-1.766","-2.648","-0.883",
"KOS","PP2AA","28.357","28.357","0.055","2.955","0.358","2.90783E-9","2.90783E-9","0.963","0.129","0.78","2.447","2.175","1.184","3.994","-1.121","-1.998","-0.244",
"KOS","UBC21","26.085","26.085","0.176","0.682","0.395","1.4050334E-8","1.4050334E-8","0.885","0.623","0.76","2.447","1.717","0.878","3.357","-0.78","-1.747","0.188",
"OXC","ACT2","23.441","23.441","0.26","-","-","8.7790035E-8","8.7790035E-8","0.835","-","-","-","-","-","-","-","-","-",
"OXC","DNAB","28.257","28.257","0.168","4.816","0.309","3.1173704E-9","3.1173704E-9","0.89","0.036","0.807","2.447","0.938","0.555","1.585","0.092","-0.665","0.849",
"OXC","EF1A","19.332","19.332","0.107","-4.109","0.281","1.5150953E-6","1.5150953E-6","0.929","17.258","0.823","2.447","0.814","0.505","1.311","0.297","-0.391","0.985",
"OXC","GAPDH","24.268","24.268","0.155","0.827","0.303","4.9492325E-8","4.9492325E-8","0.898","0.564","0.811","2.447","0.982","0.588","1.64","0.027","-0.713","0.767",
"OXC","KU70","27.182","27.182","0.058","3.741","0.266","6.5653616E-9","6.5653616E-9","0.96","0.075","0.831","2.447","0.877","0.558","1.379","0.189","-0.463","0.841",
"OXC","PP2AA","28.454","28.454","0.22","5.013","0.341","2.7190974E-9","2.7190974E-9","0.858","0.031","0.79","2.447","0.522","0.293","0.931","0.937","0.104","1.771",
"OXC","UBC21","25.605","25.605","0.093","2.163","0.276","1.9600314E-8","1.9600314E-8","0.938","0.223","0.826","2.447","0.615","0.385","0.982","0.701","0.026","1.377",
"OXS","ACT2","25.071","25.071","0.222","-","-","2.8378091E-8","2.8378091E-8","0.857","-","-","-","-","-","-","-","-","-",
"OXS","DNAB","28.709","28.709","0.252","3.638","0.336","2.2793865E-9","2.2793865E-9","0.84","0.08","0.792","2.447","2.122","1.2","3.751","-1.085","-1.907","-0.264",
"OXS","EF1A","19.959","19.959","0.174","-5.112","0.283","9.811924E-7","9.811924E-7","0.886","34.576","0.822","2.447","1.631","1.01","2.633","-0.706","-1.397","-0.014",
"OXS","GAPDH","24.823","24.823","0.244","-0.248","0.33","3.3695223E-8","3.3695223E-8","0.845","1.187","0.796","2.447","2.067","1.181","3.617","-1.048","-1.855","-0.241",
"OXS","KU70","27.026","27.026","0.21","1.956","0.306","7.315972E-9","7.315972E-9","0.865","0.258","0.809","2.447","3.025","1.801","5.08","-1.597","-2.345","-0.849",
"OXS","PP2AA","28.463","28.463","0.264","3.393","0.345","2.7020368E-9","2.7020368E-9","0.833","0.095","0.787","2.447","1.605","0.894","2.882","-0.683","-1.527","0.161",
"OXS","UBC21","26.146","26.146","0.166","1.075","0.277","1.346961E-8","1.346961E-8","0.892","0.475","0.825","2.447","1.307","0.817","2.092","-0.387","-1.065","0.292",
"WTC","ACT2","23.807","23.807","0.291","-","-","6.8135826E-8","6.8135826E-8","0.817","-","-","-","-","-","-","-","-","-",
"WTC","DNAB","27.787","27.787","0.254","3.98","0.387","4.3167527E-9","4.3167527E-9","0.838","0.063","0.765","2.447","1.674","0.869","3.225","-0.743","-1.69","0.203",
"WTC","EF1A","19.066","19.066","0.065","-4.741","0.299","1.8217138E-6","1.8217138E-6","0.956","26.737","0.813","2.447","1.261","0.76","2.092","-0.335","-1.065","0.396",
"WTC","GAPDH","23.827","23.827","0.119","0.02","0.315","6.7215844E-8","6.7215844E-8","0.921","0.986","0.804","2.447","1.717","1.007","2.929","-0.78","-1.551","-0.01",
"WTC","KU70","27.004","27.004","0.084","3.197","0.303","7.432056E-9","7.432056E-9","0.944","0.109","0.81","2.447","1.28","0.765","2.141","-0.356","-1.098","0.386",
"WTC","PP2AA","27.721","27.721","0.281","3.914","0.405","4.5214534E-9","4.5214534E-9","0.823","0.066","0.755","2.447","1.119","0.563","2.222","-0.162","-1.152","0.828",
"WTC","UBC21","25.131","25.131","0.5","1.324","0.579","2.7209033E-8","2.7209033E-8","0.707","0.399","0.67","2.447","1.1","0.412","2.934","-0.137","-1.553","1.278",
"WTS","ACT2","25.658","25.658","0.11","-","-","1.8886503E-8","1.8886503E-8","0.927","-","-","-","-","-","-","-","-","-",
"WTS","DNAB","28.805","28.805","0.129","3.146","0.169","2.1329298E-9","2.1329298E-9","0.915","0.113","0.89","2.447","2.984","2.24","3.973","-1.577","-1.99","-1.164",
"WTS","EF1A","20.109","20.109","0.08","-5.549","0.136","8.8419927E-7","8.8419927E-7","0.946","46.816","0.91","2.447","2.208","1.755","2.779","-1.143","-1.474","-0.811",
"WTS","GAPDH","25.183","25.183","0.062","-0.475","0.126","2.6245427E-8","2.6245427E-8","0.958","1.39","0.916","2.447","2.419","1.954","2.996","-1.275","-1.583","-0.966",
"WTS","KU70","27.111","27.111","0.103","1.453","0.15","6.899241E-9","6.899241E-9","0.931","0.365","0.901","2.447","4.286","3.323","5.529","-2.1","-2.467","-1.732",
"WTS","PP2AA","28.416","28.416","0.047","2.758","0.119","2.7923759E-9","2.7923759E-9","0.968","0.148","0.921","2.447","2.493","2.037","3.051","-1.318","-1.609","-1.026",
"WTS","UBC21","26.425","26.425","0.068","0.767","0.129","1.1097673E-8","1.1097673E-8","0.954","0.588","0.915","2.447","1.619","1.301","2.014","-0.695","-1.01","-0.379",

