AT1G01340	CNGC10	cyclic nucleotide gated channel 10	false
AT1G01350	AT1G01350	Zinc finger (CCCH-type/C3HC4-type RING finger) family protein	false
AT1G01355	AT1G01355	Putative endonuclease or glycosyl hydrolase	false
AT1G01360	RCAR1	regulatory component of ABA receptor 1	false
AT1G01370	HTR12	Histone superfamily protein	false
AT1G01380	ETC1	Homeodomain-like superfamily protein	false
AT1G01390	AT1G01390	UDP-Glycosyltransferase superfamily protein	false
AT1G01400	AT1G01400	hypothetical protein	false
AT1G01410	PUM22	pumilio 22	false
AT1G01420	UGT72B3	UDP-glucosyl transferase 72B3	false
AT1G01430	TBL25	TRICHOME BIREFRINGENCE-LIKE 25	false
AT1G01440	AT1G01440	hypothetical protein (DUF3133)	false
AT1G01448	AT1G01448	Natural antisense transcript overlaps with AT1G01450	false
AT1G01450	AT1G01450	Protein kinase superfamily protein	false
AT1G01453	AT1G01453	late embryogenesis abundant hydroxyproline-rich glycoprotein family protein	false
AT1G01460	PIPK11	Phosphatidylinositol-4-phosphate 5-kinase, core	false
AT1G01470	LEA14	Late embryogenesis abundant protein	false
AT1G01471	""	""	true
AT1G01480	ACS2	1-amino-cyclopropane-1-carboxylate synthase 2	false
AT1G01490	AT1G01490	Heavy metal transport/detoxification superfamily protein	false
AT1G01500	AT1G01500	Erythronate-4-phosphate dehydrogenase family protein	false
AT1G01510	AN	NAD(P)-binding Rossmann-fold superfamily protein	false
AT1G01520	ASG4	Homeodomain-like superfamily protein	false
AT1G01530	AGL28	AGAMOUS-like 28	false
AT1G01540	AT1G01540	Protein kinase superfamily protein	false
AT1G01550	BPS1	BPS1-like protein (DUF793)	false
AT1G01560	MPK11	MAP kinase 11	false
AT1G01570	AT1G01570	transferring glycosyl group transferase (DUF604)	false
AT1G01580	FRO2	ferric reduction oxidase 2	false
AT1G01590	FRO1	ferric reduction oxidase 1	false
AT1G01600	CYP86A4	cytochrome P450, family 86, subfamily A, polypeptide 4	false
AT1G01610	GPAT4	glycerol-3-phosphate acyltransferase 4	false
AT1G01620	PIP1C	plasma membrane intrinsic protein 1C	false
AT1G01630	AT1G01630	Sec14p-like phosphatidylinositol transfer family protein	false
AT1G01640	AT1G01640	BTB/POZ domain-containing protein	false
AT1G01650	SPPL4	SIGNAL PEPTIDE PEPTIDASE-LIKE 4	false
AT1G01660	AT1G01660	RING/U-box superfamily protein	false
AT1G01670	AT1G01670	RING/U-box superfamily protein	false
AT1G01680	PUB54	plant U-box 54	false
AT1G01690	PRD3	putative recombination initiation defects 3	false
AT1G01695	TRM33	Phosphatidylinositol N-acetyglucosaminlytransferase subunit P-like protein	false
AT1G01700	ROPGEF2	RHO guanyl-nucleotide exchange factor 2	false
AT1G01710	AT1G01710	acyl-CoA thioesterase II	false
AT1G01715	AT1G01715	hypothetical protein	false
AT1G01720	ATAF1	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein	false
AT1G01725	AT1G01725	adenylosuccinate synthetase	false
AT1G01730	AT1G01730	hypothetical protein	false
AT1G01740	BSK4	kinase with tetratricopeptide repeat domain-containing protein	false
AT1G01750	ADF11	actin depolymerizing factor 11	false
AT1G01760	AT1G01760	denosine deaminases acting on tRNA	false
AT1G01770	AT1G01770	propionyl-CoA carboxylase	false
AT1G01780	PLIM2b	GATA type zinc finger transcription factor family protein	false
AT1G01790	KEA1	K  efflux antiporter 1	false
AT1G01800	AT1G01800	NAD(P)-binding Rossmann-fold superfamily protein	false
AT1G01810	AT1G01810	hypothetical protein	false
AT1G01820	PEX11C	peroxin 11c	false
AT1G01830	AT1G01830	ARM repeat superfamily protein	false
AT1G01840	AT1G01840	AP2-like ethylene-responsive transcription factor SNZ	false
AT1G01860	PFC1	Ribosomal RNA adenine dimethylase family protein	false
AT1G01870	AT1G01870	tRNA-Val	false
AT1G01880	AT1G01880	5'-3' exonuclease family protein	false
AT1G01890	AT1G01890	tRNA-Lys	false
AT1G01900	SBTI1.1	subtilase family protein	false
AT1G01910	AT1G01910	P-loop containing nucleoside triphosphate hydrolases superfamily protein	false
AT1G01920	AT1G01920	SET domain-containing protein	false
AT1G01930	AT1G01930	zinc finger protein-like protein	false
AT1G01940	AT1G01940	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein	false
AT1G01950	ARK2	armadillo repeat kinesin 2	false
AT1G01960	EDA10	SEC7-like guanine nucleotide exchange family protein	false
AT1G01970	AT1G01970	Tetratricopeptide repeat (TPR)-like superfamily protein	false
AT1G01980	AT1G01980	FAD-binding Berberine family protein	false
AT1G01990	AT1G01990	hypothetical protein	false
AT1G02000	GAE2	UDP-D-glucuronate 4-epimerase 2	false
AT1G02010	SEC1A	secretory 1A	false
AT1G02020	AT1G02020	nitroreductase family protein	false
AT1G02030	AT1G02030	C2H2-like zinc finger protein	false
AT1G02040	AT1G02040	C2H2-type zinc finger family protein	false
AT1G02050	LAP6	Chalcone and stilbene synthase family protein	false
AT1G02060	AT1G02060	Tetratricopeptide repeat (TPR)-like superfamily protein	false
AT1G02065	SPL8	squamosa promoter binding protein-like 8	false
AT1G02067	AT1G02067	hypothetical protein	false
AT1G02070	AT1G02070	zinc ion-binding protein	false
AT1G02074	""	""	true
AT1G02080	AT1G02080	transcription regulator	false
AT1G02090	FUS5	Proteasome component (PCI) domain protein	false
AT1G02100	SBI1	Leucine carboxyl methyltransferase	false
AT1G02110	AT1G02110	bZIP domain class transcription factor (DUF630 and DUF632)	false
AT1G02120	VAD1	GRAM domain family protein	false
AT1G02130	RA-5	RAS 5	false
AT1G02136	AT1G02136	pseudogene of ELMO/CED-12 family protein	false
AT1G02140	MAGO	mago nashi family protein	false
AT1G02145	ALG12	homolog of asparagine-linked glycosylation 12	false
AT1G02150	AT1G02150	Tetratricopeptide repeat (TPR)-like superfamily protein	false
AT1G02160	AT1G02160	Cox19 family protein (CHCH motif)	false
AT1G02170	MC1	metacaspase 1	false
AT1G02180	AT1G02180	ferredoxin-like protein	false
AT1G02190	AT1G02190	Fatty acid hydroxylase superfamily	false
AT1G02205	CER1	Fatty acid hydroxylase superfamily	false
AT1G02210	AT1G02210	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein	false
AT1G02220	NAC003	NAC domain containing protein 3	false
AT1G02228	AT1G02228	transposable_element_gene	false
AT1G02230	NAC004	NAC domain containing protein 4	false
AT1G02250	NAC005	NAC domain containing protein 5	false
AT1G02260	AT1G02260	Divalent ion symporter	false
AT1G02270	AT1G02270	Calcium-binding endonuclease/exonuclease/phosphatase family	false
AT1G02280	TOC33	translocon at the outer envelope membrane of chloroplasts 33	false
AT1G02290	AT1G02290	hypothetical protein	false
AT1G02300	AT1G02300	Cysteine proteinases superfamily protein	false
AT1G02305	AT1G02305	Cysteine proteinases superfamily protein	false
AT1G02310	MAN1	Glycosyl hydrolase superfamily protein	false
AT1G02320	AT1G02320	hypothetical protein	false
AT1G02330	AT1G02330	integrator complex subunit-like protein	false
AT1G02335	GL22	germin-like protein subfamily 2 member 2 precursor	false
AT1G02340	HFR1	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	false
AT1G02350	AT1G02350	protoporphyrinogen oxidase-like protein	false
AT1G02360	AT1G02360	Chitinase family protein	false
AT1G02370	AT1G02370	Tetratricopeptide repeat (TPR)-like superfamily protein	false
AT1G02380	AT1G02380	transmembrane protein	false
AT1G02390	GPAT2	glycerol-3-phosphate acyltransferase 2	false
AT1G02391	""	""	true
AT1G02400	GA2OX6	gibberellin 2-oxidase 6	false
AT1G02405	AT1G02405	proline-rich family protein	false
AT1G02410	AT1G02410	cytochrome c oxidase assembly protein CtaG / Cox11 family	false
AT1G02420	AT1G02420	Pentatricopeptide repeat (PPR) superfamily protein	false
AT1G02430	ARFD1B	ADP-ribosylation factor D1B	false
AT1G02440	ARFD1A	ADP-ribosylation factor D1A	false
AT1G02450	NIMIN1	NIM1-interacting 1	false
AT1G02460	AT1G02460	Pectin lyase-like superfamily protein	false
AT1G02470	AT1G02470	Polyketide cyclase/dehydrase and lipid transport superfamily protein	false
AT1G02475	AT1G02475	Polyketide cyclase/dehydrase and lipid transport superfamily protein	false
AT1G02480	AT1G02480	tRNA-Phe	false
AT1G02490	AT1G02490	hypothetical protein	false
AT1G02500	SAM1	S-adenosylmethionine synthetase 1	false
AT1G02510	TPK4	Outward rectifying potassium channel protein	false
AT1G02520	ABCB11	P-glycoprotein 11	false
AT1G02530	ABCB12	P-glycoprotein 12	false
AT1G02540	AT1G02540	hypothetical protein	false
AT1G02550	AT1G02550	Plant invertase/pectin methylesterase inhibitor superfamily protein	false
AT1G02560	CLPP5	nuclear encoded CLP protease 5	false
AT1G02570	AT1G02570	transmembrane protein	false
AT1G02575	AT1G02575	transmembrane protein	false
AT1G02580	MEA	SET domain-containing protein	false
AT1G02590	AT1G02590	Aldehyde oxidase/xanthine dehydrogenase, molybdopterin binding protein	false
AT1G02600	AT1G02600	tRNA-His	false
AT1G02610	AT1G02610	RING/FYVE/PHD zinc finger superfamily protein	false
AT1G02620	AT1G02620	Ras-related small GTP-binding family protein	false
AT1G02630	AT1G02630	Nucleoside transporter family protein	false
AT1G02640	BXL2	beta-xylosidase 2	false
AT1G02650	AT1G02650	Tetratricopeptide repeat (TPR)-like superfamily protein	false
AT1G02660	AT1G02660	alpha/beta-Hydrolases superfamily protein	false
AT1G02670	AT1G02670	P-loop containing nucleoside triphosphate hydrolases superfamily protein	false
AT1G02680	TAF13	TBP-associated factor 13	false
AT1G02681	AT1G02681	pseudogene of cotton fiber protein	false
AT1G02690	IMPA-6	importin alpha isoform 6	false
AT1G02700	AT1G02700	GATA transcription factor-like protein	false
AT1G02705	AT1G02705	hypothetical protein	false
AT1G02710	AT1G02710	glycine-rich protein	false
AT1G02720	GATL5	galacturonosyltransferase 5	false
AT1G02730	CSLD5	cellulose synthase-like D5	false
AT1G02740	AT1G02740	MRG family protein	false
AT1G02750	AT1G02750	Drought-responsive family protein	false
AT1G02760	AT1G02760	tRNA-Lys	false
AT1G02770	AT1G02770	hypothetical protein	false
AT1G02780	emb2386	Ribosomal protein L19e family protein	false
AT1G02790	PGA4	polygalacturonase 4	false
AT1G02800	CEL2	cellulase 2	false
AT1G02810	AT1G02810	Plant invertase/pectin methylesterase inhibitor superfamily	false
AT1G02813	AT1G02813	pectinesterase (Protein of unknown function, DUF538)	false
AT1G02816	AT1G02816	pectinesterase (Protein of unknown function, DUF538)	false
AT1G02820	LEA3	Late embryogenesis abundant 3 (LEA3) family protein	false
AT1G02830	AT1G02830	Ribosomal L22e protein family	false
AT1G02840	SR34	RNA-binding (RRM/RBD/RNP motifs) family protein	false
AT1G02850	BGLU11	beta glucosidase 11	false
AT1G02860	NLA	SPX (SYG1/Pho81/XPR1) domain-containing protein	false
AT1G02870	AT1G02870	nucleolar-like protein	false
AT1G02880	TPK1	thiamin pyrophosphokinase1	false
AT1G02890	AT1G02890	AAA-type ATPase family protein	false
AT1G02900	RALF1	rapid alkalinization factor 1	false
AT1G02910	LPA1	tetratricopeptide repeat (TPR)-containing protein	false
AT1G02920	GSTF7	glutathione S-transferase 7	false
AT1G02930	GSTF6	glutathione S-transferase 6	false
AT1G02940	GSTF5	glutathione S-transferase (class phi) 5	false
AT1G02950	GSTF4	glutathione S-transferase F4	false
AT1G02952	AT1G02952	Natural antisense transcript overlaps with AT1G02950	false
AT1G02960	AT1G02960	kinetochore protein	false
AT1G02965	AT1G02965	hypothetical protein	false
AT1G02970	WEE1	WEE1-like kinase	false
AT1G02980	CUL2	cullin 2	false
AT1G02990	AT1G02990	hypothetical protein	false
AT1G03000	PEX6	peroxin 6	false
AT1G03010	AT1G03010	Phototropic-responsive NPH3 family protein	false
AT1G03020	AT1G03020	Thioredoxin superfamily protein	false
AT1G03022	""	""	true
AT1G03030	AT1G03030	P-loop containing nucleoside triphosphate hydrolases superfamily protein	false
AT1G03040	AT1G03040	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	false
AT1G03050	AT1G03050	ENTH/ANTH/VHS superfamily protein	false
AT1G03055	D27	beta-carotene isomerase D27-like protein	false
AT1G03060	SPI	BEACH-DOMAIN HOMOLOG A1	false
AT1G03070	AT1G03070	Bax inhibitor-1 family protein	false
AT1G03080	NET1D	kinase interacting (KIP1-like) family protein	false
AT1G03090	MCCA	methylcrotonyl-CoA carboxylase alpha chain	false
AT1G03100	AT1G03100	Pentatricopeptide repeat (PPR) superfamily protein	false
AT1G03103	AT1G03103	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	false
AT1G03106	AT1G03106	hypothetical protein	false
AT1G03110	TRM82	Transducin/WD40 repeat-like superfamily protein	false
AT1G03120	RAB28	responsive to abscisic acid 28	false
AT1G03130	PSAD-2	photosystem I subunit D-2	false
AT1G03140	AT1G03140	splicing factor Prp18 family protein	false
AT1G03150	AT1G03150	Acyl-CoA N-acyltransferases (NAT) superfamily protein	false
AT1G03160	FZL	FZO-like protein	false
AT1G03165	AT1G03165	hypothetical protein	false
AT1G03170	FAF2	FANTASTIC four-like protein (DUF3049)	false
AT1G03180	AT1G03180	non-structural protein	false
AT1G03190	UVH6	RAD3-like DNA-binding helicase protein	false
AT1G03200	AT1G03200	hypothetical protein	false
AT1G03210	AT1G03210	Phenazine biosynthesis PhzC/PhzF protein	false
AT1G03220	AT1G03220	Eukaryotic aspartyl protease family protein	false
AT1G03230	AT1G03230	Eukaryotic aspartyl protease family protein	false
AT1G03240	AT1G03240	hypothetical protein	false
AT1G03250	AT1G03250	R3H domain protein	false
AT1G03260	AT1G03260	SNARE associated Golgi protein family	false
AT1G03270	AT1G03270	CBS domain protein with a domain protein (DUF21)	false
AT1G03280	AT1G03280	Transcription factor TFIIE, alpha subunit	false
AT1G03290	AT1G03290	ELKS/Rab6-interacting/CAST family protein	false
AT1G03300	ATDUF1	agenet domain protein (DOMAIN OF UNKNOWN FUNCTION 724 1)	false
AT1G03310	DBE1	debranching enzyme 1	false
AT1G03320	AT1G03320	hypothetical protein	false
AT1G03325	AT1G03325	hypothetical protein	false
AT1G03330	LSM2	Small nuclear ribonucleoprotein family protein	false
AT1G03340	AT1G03340	hypothetical protein	false
AT1G03350	AT1G03350	BSD domain-containing protein	false
AT1G03360	RRP4	ribosomal RNA processing 4	false
AT1G03365	AT1G03365	RING/U-box superfamily protein	false
AT1G03370	AT1G03370	C2 calcium/lipid-binding and GRAM domain containing protein	false
AT1G03380	ATG18G	yeast autophagy 18 G-like protein	false
AT1G03390	AT1G03390	HXXXD-type acyl-transferase family protein	false
AT1G03395	AT1G03395	hypothetical protein	false
AT1G03400	AT1G03400	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	false
AT1G03410	2A6	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	false
AT1G03420	Sadhu4-2	transposable_element_gene	false
AT1G03430	AHP5	histidine-containing phosphotransfer factor 5	false
AT1G03440	AT1G03440	Leucine-rich repeat (LRR) family protein	false
AT1G03445	BSU1	Serine/threonine protein phosphatase family protein	false
AT1G03457	AT1G03457	RNA-binding (RRM/RBD/RNP motifs) family protein	false
AT1G03470	NET3A	Kinase interacting (KIP1-like) family protein	false
AT1G03475	LIN2	Coproporphyrinogen III oxidase	false
AT1G03490	NAC006	NAC domain containing protein 6	false
AT1G03495	AT1G03495	HXXXD-type acyl-transferase family protein	false
AT1G03502	AT1G03502	""	false
AT1G03506	AT1G03506	""	false
AT1G03510	AT1G03510	Tetratricopeptide repeat (TPR)-like superfamily protein	false
AT1G03515	AT1G03515	tRNA-Asp	false
AT1G03520	AT1G03520	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein	false
AT1G03530	NAF1	nuclear assembly factor 1	false
AT1G03540	AT1G03540	Pentatricopeptide repeat (PPR-like) superfamily protein	false
AT1G03545	AT1G03545	Natural antisense transcript overlaps with AT1G03550	false
AT1G03550	SCAMP4	Secretory carrier membrane protein (SCAMP) family protein	false
AT1G03560	AT1G03560	Pentatricopeptide repeat (PPR-like) superfamily protein	false
AT1G03570	AT1G03570	tRNA-Gln	false
AT1G03580	AT1G03580	pseudogene of MATH domain/coiled-coil protein	false
AT1G03590	AT1G03590	Protein phosphatase 2C family protein	false
AT1G03600	PSB27	photosystem II family protein	false
AT1G03610	AT1G03610	plant/protein (DUF789)	false
AT1G03620	AT1G03620	ELMO/CED-12 family protein	false
AT1G03630	POR C	protochlorophyllide oxidoreductase C	false
AT1G03640	AT1G03640	tRNA-Phe	false
AT1G03650	AT1G03650	Acyl-CoA N-acyltransferases (NAT) superfamily protein	false
AT1G03660	AT1G03660	Ankyrin-repeat containing protein	false
AT1G03670	AT1G03670	ankyrin repeat family protein	false
AT1G03680	THM1	thioredoxin M-type 1	false
AT1G03687	AT1G03687	DTW domain-containing protein	false
AT1G03700	AT1G03700	Uncharacterized protein family (UPF0497)	false
AT1G03710	AT1G03710	Cystatin/monellin superfamily protein	false
AT1G03720	AT1G03720	Cysteine proteinases superfamily protein	false
AT1G03730	AT1G03730	pyrroline-5-carboxylate reductase	false
AT1G03740	AT1G03740	Protein kinase superfamily protein	false
AT1G03743	AT1G03743	""	false
AT1G03746	AT1G03746	""	false
AT1G03750	SWI2	switch 2	false
AT1G03760	AT1G03760	Prefoldin chaperone subunit family protein	false
AT1G03770	RING1B	RING 1B	false
AT1G03780	TPX2	targeting protein for XKLP2	false
AT1G03790	SOM	Zinc finger C-x8-C-x5-C-x3-H type family protein	false
AT1G03800	ERF10	ERF domain protein 10	false
AT1G03810	AT1G03810	Nucleic acid-binding, OB-fold-like protein	false
AT1G03820	AT1G03820	E6-like protein	false
AT1G03830	AT1G03830	guanylate-binding family protein	false
AT1G03840	MGP	C2H2 and C2HC zinc fingers superfamily protein	false
AT1G03850	GRXS13	Glutaredoxin family protein	false
AT1G03860	PHB2	prohibitin 2	false
AT1G03870	FLA9	FASCICLIN-like arabinoogalactan 9	false
AT1G03880	CRU2	cruciferin 2	false
AT1G03890	AT1G03890	RmlC-like cupins superfamily protein	false
AT1G03900	ABCI18	non-intrinsic ABC protein 4	false
AT1G03905	ABCI19	P-loop containing nucleoside triphosphate hydrolases superfamily protein	false
AT1G03910	AT1G03910	cactus-binding carboxy-terminal, cactin	false
AT1G03920	AT1G03920	Protein kinase family protein	false
AT1G03930	ADK1	dual specificity kinase 1	false
AT1G03935	AT1G03935	""	false
AT1G03940	AT1G03940	HXXXD-type acyl-transferase family protein	false
AT1G03950	VPS2.3	vacuolar protein sorting-associated protein 2.3	false
AT1G03960	AT1G03960	Calcium-binding EF hand family protein	false
AT1G03970	GBF4	G-box binding factor 4	false
AT1G03980	PCS2	phytochelatin synthase 2	false
AT1G03982	AT1G03982	PAK-box/P21-Rho-binding family protein	false
AT1G03990	AT1G03990	Long-chain fatty alcohol dehydrogenase family protein	false
AT1G04000	AT1G04000	hypothetical protein	false
AT1G04010	PSAT1	phospholipid sterol acyl transferase 1	false
AT1G04020	BARD1	breast cancer associated RING 1	false
AT1G04030	AT1G04030	eisosome protein	false
AT1G04040	AT1G04040	HAD superfamily, subfamily IIIB acid phosphatase	false
AT1G04050	SUVR1	histone-lysine N-methyltransferase SUVR2-like protein	false
AT1G04070	TOM22-I	translocase of outer membrane 22-I	false
AT1G04080	PRP39	Tetratricopeptide repeat (TPR)-like superfamily protein	false
AT1G04090	AT1G04090	vacuolar sorting-associated protein (DUF946)	false
AT1G04100	IAA10	indoleacetic acid-induced protein 10	false
AT1G04105	AT1G04105	hypothetical protein	false
AT1G04110	SDD1	Subtilase family protein	false
AT1G04120	ABCC5	multidrug resistance-associated protein 5	false
AT1G04130	TPR2	Tetratricopeptide repeat (TPR)-like superfamily protein	false
AT1G04140	AT1G04140	Transducin family protein / WD-40 repeat family protein	false
AT1G04150	AT1G04150	C2 calcium/lipid-binding plant phosphoribosyltransferase family protein	false
AT1G04160	XIB	myosin XI B	false
AT1G04170	EIF2 GAMMA	eukaryotic translation initiation factor 2 gamma subunit	false
AT1G04171	""	""	true
AT1G04180	YUC9	YUCCA 9	false
AT1G04190	TPR3	Tetratricopeptide repeat (TPR)-like superfamily protein	false
AT1G04200	AT1G04200	dyggve-melchior-clausen syndrome protein	false
AT1G04210	AT1G04210	Leucine-rich repeat protein kinase family protein	false
AT1G04220	KCS2	3-ketoacyl-CoA synthase 2	false
AT1G04230	AT1G04230	rRNA-processing EFG1-like protein (DUF2361)	false
AT1G04240	SHY2	AUX/IAA transcriptional regulator family protein	false
AT1G04250	AXR3	AUX/IAA transcriptional regulator family protein	false
AT1G04260	MPI7	CAMV movement protein interacting protein 7	false
AT1G04270	RPS15	cytosolic ribosomal protein S15	false
AT1G04280	AT1G04280	P-loop containing nucleoside triphosphate hydrolases superfamily protein	false
AT1G04290	AT1G04290	Thioesterase superfamily protein	false
AT1G04295	AT1G04295	Natural antisense transcript overlaps with AT1G04290	false
AT1G04300	AT1G04300	TRAF-like superfamily protein	false
AT1G04310	ERS2	ethylene response sensor 2	false
AT1G04320	AT1G04320	tRNA-Gly	false
AT1G04330	AT1G04330	hypothetical protein	false
AT1G04340	AT1G04340	HR-like lesion-inducing protein-like protein	false
AT1G04350	AT1G04350	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	false
AT1G04360	AT1G04360	RING/U-box superfamily protein	false
AT1G04370	ERF14	Ethylene-responsive element binding factor 14	false
AT1G04380	AT1G04380	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	false
AT1G04390	AT1G04390	BTB/POZ domain-containing protein	false
AT1G04400	CRY2	cryptochrome 2	false
AT1G04410	c-NAD-MDH1	Lactate/malate dehydrogenase family protein	false
AT1G04420	AT1G04420	NAD(P)-linked oxidoreductase superfamily protein	false
AT1G04425	AT1G04425	""	false
AT1G04430	AT1G04430	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	false
AT1G04440	CKL13	casein kinase like 13	false
AT1G04445	AT1G04445	C2H2-like zinc finger protein	false
AT1G04450	RIC3	ROP-interactive CRIB motif-containing protein 3	false
AT1G04455	AT1G04455	hypothetical protein	false
AT1G04457	AT1G04457	pseudogene of hypothetical protein	false
AT1G04470	AT1G04470	hypothetical protein (DUF810)	false
AT1G04480	AT1G04480	Ribosomal protein L14p/L23e family protein	false
AT1G04490	AT1G04490	hypothetical protein (DUF3527)	false
AT1G04500	AT1G04500	CCT motif family protein	false
AT1G04501	""	""	true
AT1G04510	MAC3A	MOS4-associated complex 3A	false
AT1G04520	PDLP2	plasmodesmata-located protein 2	false
AT1G04530	TPR4	Tetratricopeptide repeat (TPR)-like superfamily protein	false
AT1G04540	AT1G04540	Calcium-dependent lipid-binding (CaLB domain) family protein	false
AT1G04550	IAA12	AUX/IAA transcriptional regulator family protein	false
AT1G04555	AT1G04555	transmembrane protein	false
AT1G04560	AT1G04560	AWPM-19-like family protein	false
AT1G04570	AT1G04570	Major facilitator superfamily protein	false
AT1G04580	AO4	aldehyde oxidase 4	false
AT1G04590	AT1G04590	PPR containing-like protein	false
AT1G04600	XIA	myosin XI A	false
AT1G04610	YUC3	YUCCA 3	false
AT1G04620	HCAR	coenzyme F420 hydrogenase family / dehydrogenase, beta subunit family	false
AT1G04625	AT1G04625	Polynucleotidyl transferase, ribonuclease H-like superfamily protein	false
AT1G04630	MEE4	GRIM-19 protein	false
AT1G04635	EMB1687	ribonuclease P family protein / Rpp14 family protein	false
AT1G04640	LIP2	lipoyltransferase 2	false
AT1G04645	AT1G04645	Plant self-incompatibility protein S1 family	false
AT1G04650	AT1G04650	holliday junction resolvase	false
AT1G04660	AT1G04660	glycine-rich protein	false
AT1G04670	AT1G04670	hypothetical protein	false
AT1G04680	AT1G04680	Pectin lyase-like superfamily protein	false
AT1G04684	""	""	true
AT1G04690	KAB1	potassium channel beta subunit 1	false
AT1G04700	AT1G04700	PB1 domain-containing protein tyrosine kinase	false
AT1G04710	PKT4	peroxisomal 3-ketoacyl-CoA thiolase 4	false
AT1G04720	AT1G04720	tRNA-Met	false
AT1G04730	CTF18	P-loop containing nucleoside triphosphate hydrolases superfamily protein	false
AT1G04750	VAMP721	vesicle-associated membrane protein 721	false
AT1G04760	VAMP726	vesicle-associated membrane protein 726	false
AT1G04770	AT1G04770	Tetratricopeptide repeat (TPR)-like superfamily protein	false
AT1G04778	AT1G04778	hypothetical protein	false
AT1G04780	AT1G04780	Ankyrin repeat family protein	false
AT1G04790	AT1G04790	RING/U-box superfamily protein	false
AT1G04800	AT1G04800	glycine-rich protein	false
AT1G04810	AT1G04810	26S proteasome regulatory complex, non-ATPase subcomplex, Rpn2/Psmd1 subunit	false
AT1G04820	TUA4	tubulin alpha-4 chain	false
AT1G04830	AT1G04830	Ypt/Rab-GAP domain of gyp1p superfamily protein	false
AT1G04840	AT1G04840	Tetratricopeptide repeat (TPR)-like superfamily protein	false
AT1G04850	AT1G04850	ubiquitin-associated (UBA)/TS-N domain-containing protein	false
AT1G04860	UBP2	ubiquitin-specific protease 2	false
AT1G04870	PRMT10	protein arginine methyltransferase 10	false
AT1G04880	AT1G04880	HMG (high mobility group) box protein with ARID/BRIGHT DNA-binding domain-containing protein	false
AT1G04890	AT1G04890	zein-binding protein (Protein of unknown function, DUF593)	false
AT1G04895	AT1G04895	hypothetical protein	false
